uuid,name,address,city,zip,exists_file1,exists_file2,number_of_occurrences
f32554735129f43f0ec8b9e368d74a60cc8d52a1886bc6e961f3a56c56da72af,US PROTECT CORPORATION,801 ROEDER ROAD SUITE 1000,SILVER SPRING,20910,true,false,7
412120026a931115768b7ec83b812b04e44ccb0ce15d632ba915e1f5e889f983,FRONTERA PRODUCE LTD,1321 FRONTERA RD,EDINBURG,78541,true,false,7
6c9e2441f1b44cb9540106bd36988f751587b03789611461c6936c30825ea880,X PRESS SWEEPING INC,14 CLOVER DR,COVENTRY,2816,true,false,7
43dfd3c6f5365a88a8512878ded848afa5f302bb3c3e0a849938adae2ee3ae9f,DENNYS OF GUAM INC,321 E HARMON INDUSTRIAL PARK ROAD,TAMUNING,96913,true,false,7
2bd0a3d162e3edc47a3e96a9dd8b50a1676d5a04b08e4dd7ed0b0ecf80be1791,ESKA INC,3510 S CENTRAL AVE,LOS ANGELES,90011,true,false,7
6cff36e06112c76b934ca2bcd4919d1bdbe027b8ced778df8eefdb875923e9f7,NYPD COMMUNICATIONS TECH,11 METRO TECH,BROOKLYN,11201,true,false,7
5d03209ef2a2c3e117ba5e4ef5251b8e0dcaf68fcc0896e961ed9559337ac700,FASHION EXIT INC,1620 NAOMI AVE,LOS ANGELES,90021,true,false,7
64aac0f5ea9f43e631530227ecb0eacf1b13c3ebe01af35aa68d8ca5cae1ade7,JENKINS SECURITY CONSULTANTS INC,2001 BUNKER HILL ROAD NE,WASHINGTON,20018,true,false,7
aa751ac0ba1107a8a14baad2c34a89691bce58953d98686d8eb51ac0e71b02cb,US POSTAL SERVICE,900 EAST FAYETTE STREET,BALTIMORE,21233,true,false,6
59b42a1fcafcbd6a071d13852cd0b90c8a5e71af088725a16b1b15279d9f858c,STC NEW ENGLAND LLC,281 STATE STREET,AUGUSTA,4330,true,false,6
bc4dc61b39feba3bad518129e4ec9ad699ddc19bb088c91e4377fa06831e0dd2,FREDERICK COUNTY FRUIT GROWERS ASSOCIATION,801 FAIRMONT AVE,WINCHESTER,22601,true,false,6
a7a32ed3092de678d5c599406db4978b98091e5f30c161996df10c4870d90557,HCI INTEGRATED SOLUTIONS INC,4305 RIDGE TOP ROAD,FAIRFAX,22030,true,false,6
714fed9ae0b04d34c91f212c627e84f2c82e090f41e92a954fa02469f163ac99,NAN,8507 EDGEWORTH DRIVE,CAPITOL HEIGHTS,20743,true,false,6
3628db9fbfa2233c9dee12523b048a247e625c02e8a9abcab3f7bd9553c1c814,HOSPITALITY STAFFING SOLUTIONS LLC,100 GLENRIDGE POINT PARKWAY SUITE 400,ATLANTA,30342,true,false,6
5d172b4e141d812f89b191c9701b3f93baf9c7bd49edc5cd44312cc0feeffdee,DIANA RAMON FLC,830 S GETTY,UVALDE,78802,true,false,6
60d5f9c80047741ecd42bef0e8c8a98406ee0900a42416b040a7bde2617b16d8,KNIGHT PROTECTIVE SERVICE INC,8507 EDGEWORTH DRIVE,CAPITOL HEIGHTS,20743,true,false,6
366b4b0be2b57dda2e43322379a25a1b24c7927525a73960d77139ce471d67a9,COASTAL FRUIT COMPANY,PO BOX 1298,MERCEDES,78570,true,false,6
266636908ea912dc463bd399f41b2948463cf7bd32c26effbe6b230383d58c5b,SUPERIOR PROTECTION INC,9601 KATY FRWY SUITE 280,HOUSTON,77024,true,false,6
63e48701fb215d0f56db0cbfe336a48c9e403cacc84b892db0b396ea4518836a,NCLN20 INC,1850 GATEWAY PLAZA SUITE 230,CONCORD,94520,true,false,6
3fcf71be60a0b999a437916b831cbde3b26a25334347b93b71584037dc539e53,EAST COAST BROKERS  PACKERS INC,OCEAN HIGHWAY AT 15141 FINNEY MASON LANE,MAPPSVILLE,23407,true,false,6
8a6651062b4905abb8be9c7aead930d63b83720da064e482a9b78283f6d126a6,ARROWHEAD STARR COMPANY,14646 ONYX TRAIL,PLAINVIEW,72857,true,false,6
08d953f3d38f665ee68f83b0705cb1ad919a8bb7e179eea323ef64e2990fffdd,JOHN B PETERS INC,10540 CARLISLE PIKE,GARDNERS,17324,true,false,6
0a3dea260a7e052aca99d9b8142c1fa83ea92635450149adf64859a65fc68723,OVATIONS,101 N ATLANTIC AVE,DAYTONA BEACH,32118,false,true,6
